X,Y,Z,roll,pitch,yaw,img,path,camID
177036.4279,2535911.3047,46.7415,-81.381936161,-4.271224807,164.451667184,200721_022549053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177034.3244,2535911.3739,46.7263,-81.36395124399999,-4.458096547,-167.438538005,200721_022550053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177032.5339,2535910.5219,46.7246,-81.378311695,-4.666895041,-140.946375043,200721_022551053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177031.3592,2535909.0464,46.7286,-81.741646898,-4.626027475,-115.694249161,200721_022552053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177030.9187,2535907.1902,46.7341,-81.321821712,-4.029660586,-90.778024554,200721_022553053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177031.24,2535905.4315,46.7156,-80.763829039,-4.735078842,-68.299837619,200721_022554053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177032.3111,2535903.8131,46.7214,-81.188382265,-5.223043731000001,-55.195842369,200721_022555053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177034.134,2535902.0167,46.752,-81.611032263,-5.104300524,-52.247698895,200721_022556053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177036.4728,2535899.7385,46.7666,-81.362412252,-4.92709214,-57.161028607,200721_022557053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177038.9247,2535896.7197,46.7758,-81.283887246,-4.842344342,-65.868978107,200721_022558053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177041.1473,2535892.9496,46.7849,-81.458972604,-4.96874313,-71.363530393,200721_022559053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177043.2706,2535888.7533,46.8118,-81.65496459399999,-4.989719612,-73.057642124,200721_022600053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177045.4726,2535884.1362,46.8292,-81.738525846,-4.820426957,-73.830539153,200721_022601053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177047.8013,2535879.1593,46.8325,-82.013525285,-4.726965711,-74.15229656300001,200721_022602053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
